Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2020-01-31,2020-02-07,9367.52831859026,643.7028861594323,0.5390986059454442,1.9733740199268317,8414.7,8972.4,9320.0,9710.9,10492.7,0.0480970391203709,0.1028215682751029,-0.054678481266706,0.0837716258575756,0.1097563098555002,55,18.84
2020-02-14,2020-02-21,10348.071893202345,855.7807839697381,0.4099651134291326,1.1915434167561365,9118.3,9815.2,10246.0,10812.2,11902.8,-0.0666843408721539,0.0526590180768729,0.0480970391203709,0.1028215682751029,-0.054678481266706,63,13.68
2020-02-21,2020-02-28,9685.026683287664,700.1370329829183,-0.0435321928103202,2.3710863535664624,8576.4,9294.1,9681.1,10077.3,10807.5,-0.1072493518904024,-0.0666843408721539,0.0526590180768729,0.0480970391203709,0.1028215682751029,44,17.08
2020-02-28,2020-03-06,8708.253190632642,695.6534904591364,0.7587333394960845,3.048463383278316,7702.400000000001,8292.6,8653.5,9055.9,9911.2,0.0492638370911227,-0.1072493518904024,-0.0666843408721539,0.0526590180768729,0.0480970391203709,40,40.11
2020-03-20,2020-03-27,6079.8452057261,1436.0027062392144,-0.1304518431394654,2.253934323577635,3617.9,5346.700000000001,6115.400000000001,6896.6,8354.9,0.0239916595626999,0.1069589220341113,-0.492833739120552,0.0492638370911227,-0.1072493518904024,9,66.04
2020-04-24,2020-05-01,7510.831877602803,590.3442605335963,-0.2635586524575204,2.1627185098765622,6524.400000000001,7188.5,7533.8,7856.200000000001,8414.4,0.1622412093914795,0.0657313264064587,0.0239916595626999,0.1069589220341113,-0.492833739120552,20,35.93
2020-05-01,2020-05-08,8765.595066651344,844.0178541248738,-0.392742309748354,2.308694187075921,7348.0,8312.2,8803.7,9263.7,10045.3,0.1045727316072641,0.1622412093914795,0.0657313264064587,0.0239916595626999,0.1069589220341113,40,37.19
2020-05-15,2020-05-22,9331.596450551888,1085.0900768593483,-0.8676091541875898,3.403023420818108,7474.3,8797.300000000001,9414.9,9980.7,10895.3,-0.0158411484644018,0.1045727316072641,0.1622412093914795,0.0657313264064587,0.0239916595626999,44,31.89
2020-05-22,2020-05-29,9175.84996611743,809.1006092549947,-0.2131204952971025,1.4404038127659122,7824.6,8706.6,9200.6,9670.9,10441.8,0.0276480515980752,-0.0158411484644018,0.1045727316072641,0.1622412093914795,0.0657313264064587,42,28.16
2020-05-29,2020-06-05,9418.018995663126,677.8996619698431,0.2911833759603053,1.5944200932449757,8358.9,9002.9,9399.0,9806.2,10546.6,0.0203795016623089,0.0276480515980752,-0.0158411484644018,0.1045727316072641,0.1622412093914795,48,27.51
