,35000,40000,45000,46000,48000,50000,52000,54000,55000,56000,58000,60000,62000,63000,64000,65000,66000,70000,75000,80000
2021-03-25,433.096845,717.90754,1211.58434,1537.0913999999998,1831.3242500000003,2865.42368,3582.2524000000003,4410.671850000001,0,0,0,0,0,0,0,12776.129895,0,0,0,0
2021-03-26,217.92568,465.581295,708.57397,790.3936950000001,1062.92706,1531.25364,2016.58103,2776.6728100000005,0,3908.53606,0,0,0,0,0,0,0,0,0,0
2021-03-27,192.085145,309.717595,505.61514,657.6696000000001,790.01776,1067.52089,1410.8950000000002,2034.43848,0,2818.2605000000003,5033.3384,0,0,0,0,9518.873485,0,0,0,0
2021-03-28,110.49358,278.3788,523.83228,633.236,822.20025,870.649725,1588.8868,1770.41718,0,2717.81293,4045.6548,0,0,0,0,0,0,0,0,0
2021-03-29,114.98284,258.35364,461.35192,519.20136,631.7523299999999,806.0745000000001,1148.7118,1664.0887300000002,0,2465.3749,3280.3163700000005,4584.8368,5540.48928,0,0,0,0,0,0,0
2021-03-30,88.237695,236.04008,434.335725,324.01358,470.7924,644.63113,909.087865,1291.1419399999995,0,1989.5083,2508.0758750000005,3693.5766,5897.79339,0,0,0,0,0,0,0
2021-03-31,59.44354,172.68534,325.689595,327.45856,529.5521699999999,566.200475,907.24476,1234.11183,0,1717.71727,2457.63747,3405.30525,4286.5776,0,0,0,0,0,0,0
2021-04-01,88.32554999999999,175.87026,293.3559,319.571285,411.44446,612.157455,704.9466000000001,1000.46734,0,1527.3843,2235.692,3240.30135,4517.17112,0,0,6798.086040000001,7613.2485,0,0,0
2021-04-02,58.87553,117.71252,178.69269000000003,267.75099,353.54952,471.46888,676.617795,1029.196525,1237.38447,1306.73642,2149.443755,3306.833695,3664.81083,0,0,0,0,0,0,0
2021-04-03,58.16221,145.74857500000002,257.433525,288.62005,400.29591,545.832095,645.26198,1269.244596,1118.12815,1998.69425,2910.14823,2878.941085,0,0,0,0,0,0,0,0
2021-04-04,0,58.1172,174.52938,231.87596,319.85943,463.55216,636.5275399999999,985.6067900000002,1247.2371449999998,1572.36822,2434.27464,3690.1408,0,0,0,0,0,0,0,0
2021-04-05,57.12739,58.64799,117.29748,147.690675,235.93652,382.42373,471.99848,735.2336250000001,885.2413499999999,1231.89486,1797.70721,2765.88749,4084.185570000001,0,0,0,0,0,0,0
2021-04-06,29.27559,57.87207,172.83258,174.81444000000002,261.817065,349.43388000000004,520.8771599999999,757.35777,1069.23969,1363.405845,2037.3283,3346.9862800000005,4685.272470000001,0,0,0,0,0,0,0
2021-04-07,28.227220000000003,84.14658,167.61618,197.660925,310.67432,531.548275,726.5224199999999,1149.3552550000002,1513.26036,1984.53804,2905.01406,4411.57126,4936.227139999999,0,0,0,0,0,0,0
2021-04-08,28.13928,57.8606,86.968155,115.6596,173.07741,260.671365,346.9794,462.88936,609.04872,896.9168,1650.29535,2753.8467,5493.162380000001,0,7462.72296,0,0,0,0,0
2021-04-09,0,28.966465,58.36414,87.461955,116.98268,204.28436,262.64556,466.89608,581.2683000000001,870.2229,1538.39337,2784.26832,4030.77621,0,5568.64893,5955.310515000001,0,0,0,0
2021-04-10,30.34334,29.48348,30.103005000000003,60.8654,119.36144,176.06466,179.87061,269.613135,413.01386,703.23,1015.72127,1927.871725,3554.24311,0,4263.811695,4436.980879999999,6493.5849,0,0,0
2021-04-11,0,29.617330000000003,29.778785,29.8514,59.66861,89.47212,119.13178,207.73242,298.35125,359.27118,660.6747399999999,1408.107075,2808.94137,0,0,5045.715545,0,0,0,0
2021-04-12,29.9594,29.90742,30.1021,30.21228,29.945535,59.87758,119.98872,180.22134,239.70936,329.540695,658.65492,1376.96975,2341.61304,0,3080.37603,4599.62829,5393.47048,0,0,0
2021-04-13,0,0,0,31.276455,31.589075,31.768295,31.679745,95.187465,63.517010000000006,126.2215,190.68291,412.64093,916.287915,0,1652.71418,2227.0853500000003,4883.3336,5932.6284000000005,11543.03061,0
2021-04-14,0,0,0,32.21233,31.487525,31.091795,30.76356,31.041655,31.43099,154.057975,125.5115,312.6294,628.3580000000001,944.77245,1757.20188,2005.079265,4436.30664,0,10294.60531,0
2021-04-15,0,31.35607,0,0,0,0,31.673085,31.782315,31.782315,31.68934,31.592585,31.72781,63.20942,189.72405,916.430885,1679.61187,0,0,11431.9926,0
