,21500,22000,22500,23000,23500,24000,24500,25000,26000,27000,28000
2022-08-08,11.895045,23.75105,59.460625,118.89745,237.8561,430.3746,662.691425,0,0,0,0
2022-08-09,11.537725,11.51323,11.584505,81.09668,529.86917,990.19841,0,0,0,0,0
