,22500,23000,23500,24000,24500,24750,25000,25250,25500,25750,26000,26250,26500,26750,27000,27500,28000,28500
2023-09-11,0,0,0,0,0,46.22,42.15,41.57,38.88,39.59,40.43,43.04,42.84,0,48.5,53.17,44.21,62.51
2023-09-12,0,0,0,0,0,61.24,43.93,40.55,35.88,34.84,33.73,37.12,39.02,38.54,44.24,53.94,60.43,56.41
2023-09-13,0,0,0,0,0,0,0,53.78,52.55,50.53,36.96,24.07,27.51,37.95,41.11,60.34,65.16,0
