,38000,38500,39000,39500,40000,40500,41000,41500,42000,42500,42750,43000,43250,43500,43750,44000,44250,44500,45000,45500,46000,46500,47000,47500,48000,49000
2024-01-28,0,0,0,0,0,0,0,41.62,43.73,43.35,0,45.13,0,45.17,0,45.17,0,48.23,49.34,50.5,48.66,51.76,64.53,63.65,64.79,64.31
2024-01-29,0,0,0,0,0,0,0,43.65,40.54,42.12,0,41.86,0,41.83,0,40.13,0,42.93,48.96,50.95,55.98,61.55,65.28,61.54,68.17,0
2024-01-30,0,0,0,0,0,93.64,76.38,0,66.68,39.59,37.62,33.36,34.17,44.7,48.6,54.83,41.56,64.45,69.6,50.98,59.25,64.78,61.94,0,0,0
