,22000,22500,23000,23250,23500,23750,24000,24250,24500,24750,25000,25250,25500,25750,26000,26500,27000,27500,28000,29000
2023-02-20,0,0,0,0,0,0,0,58.32,61.1,60.46,63.51,63.02,66.49,71.34,73.98,73.7,84.32,94.61,93.61,110.64
2023-02-21,89.93,0,0,0,0,58.5,61.13,50.36,47.57,50.15,53.21,75.32,83.02,80.98,113.98,88.99,86.28,93.03,94.73,0
