,36000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,52000
2021-08-12,0,0,0,0,0,0,82.76,87.56,85.13,89.96,90.93,96.16,93.04,111.25,105.33
2021-08-13,0,0,0,0,0,0,0,0.0,128.35,86.54,79.08,80.78,84.07,91.69,127.42
