,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000
2021-07-09,0,0,0,80.59,84.19,72.37,71.91,69.9,68.06,0
2021-07-10,0,0,0,0,0,82.24,70.44,78.99,78.66,102.44
