,16000,17000,17500,18000,18500,19000,19500,20000,20500,21000,21500,22000,23000,24000
2022-06-17,0,0,0,0,0,0,0,100.32,85.29,80.94,74.59,72.16,92.65,108.81
2022-06-18,0,246.42,196.69,183.4,181.94,114.83,114.39,113.62,153.7,146.04,142.3,267.8,0,0
