,38000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000
2021-08-27,0,0,0,0,0,0,0,48.74,73.03,79.65,79.22,78.88,79.64,80.76,82.19,97.0
2021-08-28,0,0,0,0,0,0,0,157.98,0,71.91,70.51,77.48,78.04,72.07,83.94,94.61
