,18000,19000,19500,20000,20500,21000,21500,22000,22500,23000,24000
2022-06-26,0,0,82.32,0,70.0,69.21,75.59,79.24,70.6,74.19,92.67
2022-06-27,0,0,0,71.37,67.96,54.71,73.99,80.31,95.83,74.87,0
