,46000,47000,47500,48000,48500,49000,49500,50000,50250,50500,50750,51000,51250,51500,51750,52000,52250,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,60000,61000
2024-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,50.23,0,49.59,0,52.6,49.3,52.46,51.81,54.23,58.93,57.1,58.29,0,60.52,61.72,0,66.58,69.07,73.68,68.67
2024-02-20,0,0,0,0,0,0,0,0,0,53.18,0,52.52,0,52.54,0,49.8,0,50.64,50.5,53.31,53.17,61.27,60.42,64.48,66.43,75.37,79.21,73.29,69.74,80.34,73.73,74.49,0
2024-02-21,0,0,0,0,86.36,81.13,69.8,61.37,0,63.0,55.74,54.3,49.04,48.99,46.69,39.78,41.45,40.86,43.82,59.25,70.01,75.74,85.7,67.56,88.21,72.07,77.46,74.34,86.0,81.09,83.28,0,0
