,41000,42000,42500,43000,43500,44000,44500,45000,45500,46000,46500,47000,47250,47500,47750,48000,48250,48500,48750,49000,49250,49500,50000,50500,51000,51500,52000,52500,53000,54000,55000,56000
2024-02-09,0,0,0,0,0,0,0,0,0,35.81,36.01,36.2,0,32.73,0,34.39,0,37.93,0,42.43,0,43.57,44.11,44.94,47.27,49.38,51.17,55.65,66.74,64.35,75.28,72.14
2024-02-10,0,0,0,0,0,0,0,0,0,0,38.27,34.03,0,29.99,0,36.65,0,39.19,0,40.08,0,39.58,49.71,56.46,60.11,60.71,67.86,63.9,64.29,0,0,0
2024-02-11,0,146.05,0,0,0,0,0,0,0,68.7,49.61,61.17,0,37.19,38.69,41.79,34.21,32.66,35.69,43.36,42.67,47.6,55.41,61.86,64.27,67.45,77.19,71.19,78.44,76.98,0,0
