,15000,20000,25000,28000,30000,32000,34000,35000,36000,38000,40000,42000,44000,45000,46000,46500,47000,47500,48000,49000,50000,51000,52000,54000,55000,56000,58000,60000,70000,80000,90000
2021-05-27,0,0,0,0,0,0,0,0,0,0,7937.649760000001,0,0,5022.34612,0,0,0,0,0,0,3790.11766,0,0,0,3269.07735,0,0,2476.47375,1406.506095,811.218825,0
2021-05-28,0,0,0,0,0,0,0,0,0,0,5606.10105,0,0,3992.564125,0,0,0,0,0,0,2949.804825,0,0,0,1901.396545,0,0,1590.80736,823.642805,0,374.8306800000001
2021-05-29,0,0,0,0,0,0,0,6944.71884,0,0,4846.45707,0,0,3815.0387,0,0,0,0,0,0,2729.91136,0,0,0,2004.77638,0,0,1355.2636,0,505.0506600000001,374.2508
2021-05-30,0,0,0,0,0,0,0,7856.007140000001,0,0,5852.341625000001,0,0,4321.74442,0,0,0,0,0,0,3013.6117200000003,0,0,0,2111.90441,0,0,1658.81428,923.627085,534.267,338.77209
2021-05-31,0,0,0,0,0,0,0,0,0,0,5576.56792,0,0,4102.98672,0,0,0,0,0,0,2815.45274,0,0,0,2090.87368,0,0,1371.8459999999998,772.59693,0,0
2021-06-01,0,0,0,0,0,0,0,0,0,0,5272.07562,0,0,3964.39867,0,0,0,0,0,0,2792.48277,0,0,0,2058.33116,0,0,1429.55635,778.02222,453.48412500000006,316.94766000000004
2021-06-02,0,0,0,0,0,0,0,0,0,0,6170.222839999999,0,0,4544.5188,0,0,0,0,0,0,0,0,0,0,2424.63104,0,0,1820.23104,1023.05484,659.4896000000001,379.853
2021-06-03,0,0,0,0,0,0,0,0,0,0,6434.35469,0,0,4708.57902,0,0,0,0,0,0,3738.99955,0,0,0,2399.219375,0,0,1922.03055,1147.18538,778.9953999999999,507.05876
2021-06-04,0,0,0,0,0,0,0,7861.86954,0,0,5712.7511700000005,0,0,4000.1418,0,0,0,0,0,0,2924.551395,0,0,0,2055.7011300000004,0,0,1537.71942,926.389,574.0739649999999,390.82155
2021-06-05,0,0,0,0,0,0,0,6596.1022,0,0,4871.713000000001,0,0,3248.70204,0,0,0,0,0,0,2396.58656,0,0,0,1934.26789,0,0,1372.0017799999998,826.5457099999999,473.61678,401.11588
2021-06-06,0,0,0,0,0,0,0,7392.64218,0,0,4974.34959,0,0,3543.9173700000006,0,0,0,0,0,0,2528.56347,0,0,0,0,0,0,1372.07686,836.9078499999999,592.6111950000001,0
2021-06-07,0,0,0,0,0,0,0,5733.585260000001,0,0,4028.536664999999,0,0,2746.473397,0,0,0,0,0,0,2018.20976,0,0,0,1998.628905,0,0,1041.284335,611.51688,352.97682,0
2021-06-08,0,0,0,0,6983.68662,0,0,5273.95106,0,0,3877.33038,0,0,2687.3912,0,0,0,0,0,0,1788.31584,0,0,0,1182.9431,0,0,878.128645,497.1324,340.92324,0
2021-06-09,0,0,0,0,0,0,0,7689.757025,0,0,5594.5875,0,0,3857.21648,0,0,0,0,0,0,2488.0378200000005,0,0,0,1844.577645,0,0,1511.8135650000002,835.332975,541.216125,247.149
2021-06-10,0,0,0,0,0,0,0,7163.523434999999,0,0,4853.655495000001,0,0,3420.06012,0,0,0,0,0,0,2361.736515,0,0,0,1694.31202,0,0,1482.4172999999998,897.22765,458.028625,314.31300000000005
2021-06-11,0,0,0,0,0,0,0,7506.20271,0,0,5251.0441900000005,0,0,3600.137048,0,0,0,0,0,0,2419.7524,0,0,0,1780.337525,0,0,1189.73664,644.9238250000001,448.57032,258.56509
2021-06-12,0,0,0,0,0,0,0,6347.53162,0,0,4249.2096,0,0,2950.2955900000006,0,0,0,0,0,0,0,0,0,0,1304.6055,0,0,1134.18333,544.53763,369.66132,250.5069
2021-06-13,0,0,0,0,0,0,0,8395.38071,0,0,6452.419665,0,0,4622.752544999999,0,0,0,0,0,0,3273.88656,0,0,0,1956.7322,0,0,1719.839,911.392275,550.38788,371.495125
2021-06-14,0,0,0,0,0,0,0,9144.321765,0,0,7048.915999999999,0,0,4978.080599999999,0,0,0,0,0,0,3520.748875,0,0,0,2525.3493300000005,0,0,2014.726725,1002.03525,703.6767500000001,410.5021200000001
