,19000,20000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39250,39500,39750,40000,40250,40500,40750,41000,41250,41500,41750,42000,42250,42500,42750,43000,43250,43500,43750,44000,44500,45000,45500,46000,46500,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000
2023-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222.162195,0,0,0,1950.398625,1772.926575,1587.3694750000002,1370.084608,1187.65056,0,1063.158015,0,932.29,0,840.7023750000001,0,781.08282,0,0,0,577.6282699999999,0,0,0,541.700715,0,0,0,373.7243,0,298.74312,0,242.748415,0,223.4625,186.33995,160.551078,130.67355,104.40556,112.70523,86.212257,0,0,0,0,0,7.482136000000001,0,0,18.68707,0
2023-11-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3437.53571,0,2710.32905,2246.939555,2060.01825,1717.69507,1630.33296,1377.724255,0,1267.25542,0,1055.90492,0,925.24299,0,850.5909,0,659.201725,0,701.422875,0,0,0,452.7324,0,0,0,477.7336250000001,0,360.203045,0,245.540685,0,207.69485,170.03448,146.969394,128.53672799999998,114.31449,79.402638,80.253243,68.176692,57.29157,45.32467199999999,38.28748,30.16836,22.625304,18.89189,11.241701999999998,11.314509,11.335316999999998
2023-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190.7847,1870.952985,1682.070185,1493.388745,1304.202465,0,1114.666055,0,963.874245,0,810.5196849999999,0,697.188595,0,661.9312000000001,0,586.7024349999999,0,0,0,435.830105,0,0,0,321.37786000000006,0,226.19286,0,226.99830000000003,0,170.05329,140.21686499999998,121.11033600000002,90.77916,94.53705,52.706192,56.598045,49.031866,41.488931,0,22.704258,18.90963,0,7.530754,7.528634,0,0
2023-11-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2027.66487,2133.274455,1642.36776,1523.24388,1355.1901199999998,1222.954525,0,1012.35177,0,841.7205,0,752.1656,0,698.0891750000001,0,602.6339200000001,0,486.74418,0,0,0,376.2445,0,0,0,302.37352000000004,0,205.887605,0,153.002775,0,108.061714,0,67.04850599999999,78.847734,0,0,41.573455,0,26.266023,0,22.377,15.111068,0,7.56027,0,0,0
2023-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2105.56404,1837.063305,1473.864,1311.749495,1106.6346,1002.07719,894.17904,0,723.7561499999999,0,670.6006199999999,0,498.265965,0,445.3884,0,388.916115,0,334.08467999999993,0,0,0,221.96784,0,0,0,180.41996,0,139.91752,0,137.55034899999998,0,107.98005,73.98908,86.261868,44.53883999999999,56.27958,0,36.841730000000005,22.269684,26.128452,0,11.139732,0,7.425308,7.476503999999999,7.47672,3.7262620000000006,0
2023-11-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2710.8712320000004,0,0,1800.92043,2069.29306,1926.23968,1434.98982,1327.6879,1220.4784,0,843.88995,0,854.89965,0,782.04753,0,667.1672,0,612.8614399999999,0,455.40144,0,0,0,302.90504,0,0,0,286.862025,0,212.641968,0,104.189344,0,117.646364,111.115704,87.95968199999999,56.742525,0,26.206495,18.524415,18.47763,26.661873,18.99102,15.330236,11.316174,0,3.709361,11.375685,0,0
2023-11-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988.840175,1592.3528560000002,1376.73474,1177.284576,978.97878,0,907.31352,0,716.64789,0,603.48864,0,508.41054,0,432.85816,0,378.36230000000006,0,0,0,283.949775,0,0,0,225.84984,0,182.002128,0,143.275808,0,106.00786,99.230716,91.811688,60.555792,41.446262,37.64708,0,26.516028,18.91681,18.907905,11.339709,7.5537,7.535986,7.606296000000001,3.791463,0,7.541148
2023-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716.22451,1487.233855,1225.839875,1037.65255,848.87055,0,717.01497,0,565.7064,0,526.6212,0,396.35148,0,340.29963,0,283.22985,0,0,0,226.17162,0,0,0,139.291125,0,94.392875,0,109.41729,0,67.929894,83.16022,45.29343599999999,37.74384,30.118776000000004,0,18.820505,18.854405,11.304005999999998,11.273846999999998,7.512286,7.548402000000001,0,3.76635,3.797688,0,0
2023-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3334.0738,2799.544,2370.649725,2131.2285500000003,1801.055205,1633.6072200000003,1277.4801599999998,0,1084.31988,0,1011.27312,0,735.18942,0,618.93552,0,562.914795,0,426.06729,0,0,0,330.217775,0,0,0,212.72185,0,154.96592,0,103.61630700000002,0,84.896482,70.014492,58.1835,45.995964,38.68907,0,0,0,0,15.354604000000002,11.617454999999998,7.751184,7.749356000000001,7.667198,0,0,0
