date,25000,30000,35000,40000,45000,50000,52000,54000,55000,56000,58000,60000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000,71000,72000,73000,74000,75000,76000,77000,78000,79000,80000,81000,82000,83000,84000,85000,86000,87000,88000,89000,90000,91000,92000,93000,94000,95000,96000,97000,98000,99000,100000,101000,102000,103000,104000,105000,106000,107000,108000,109000,110000,111000,112000,113000,114000,115000,116000,118000,120000,122000,125000,130000,135000,140000,145000,150000,160000,180000,200000
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8247.7734,0.0,7522.8585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4936.2321,0.0,4595.235200000001,0.0,3986.03439,0.0,3663.8051899999996,0.0,3158.09493,0.0,2740.0866300000002,0.0,2703.739055,0.0,2198.581775,0.0,0.0,2095.416795,0.0,0.0,0.0,0.0,1609.19493,0.0,0.0,0.0,0.0,1151.93802,0.0,0.0,0.0,0.0,1061.2371050000002,0.0,0.0,0.0,0.0,745.11096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8049.37826,0.0,6824.39022,6452.461319999999,6262.804075,5581.15336,5280.3726400000005,5056.0575,4711.834365,4564.85085,0.0,4162.016805,0.0,3721.2384,0.0,3310.30231,0.0,2931.468045,0.0,2577.43024,0.0,2270.2758800000006,0.0,2076.06039,0.0,0.0,1796.01683,0.0,0.0,0.0,0.0,1334.5804,0.0,0.0,0.0,0.0,1007.3513999999999,0.0,0.0,0.0,0.0,805.9498800000001,0.0,0.0,0.0,0.0,682.7672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6320.59035,0.0,0.0,0.0,0.0,0.0,4623.226320000001,0.0,0.0,3686.17975,0.0,0.0,0.0,0.0,0.0,2586.21517,0.0,2313.00696,0.0,2011.0014,0.0,1776.09413,0.0,0.0,1404.5014200000003,0.0,0.0,0.0,0.0,1034.5650150000001,0.0,0.0,0.0,0.0,835.161875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.64257499999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10619.36686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7171.030379999999,0.0,0.0,0.0,0.0,5689.70837,0.0,0.0,0.0,0.0,0.0,0.0,3352.9545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2234.1429000000003,0.0,0.0,0.0,0.0,1622.59392,0.0,0.0,0.0,0.0,1322.540505,0.0,0.0,0.0,0.0,905.6997449999999,0.0,0.0,0.0,0.0,710.1942750000001,0.0,0.0,0.0,0.0,540.55624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,0.0,0.0,0.0,0.0,0.0,19997.80293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8789.99535,8809.853415,7871.14377,7277.93562,0.0,0.0,0.0,0.0,5853.877770000001,5255.56071,5027.064699999999,0.0,4847.356035000001,0.0,4289.21541,0.0,3919.57384,0.0,3047.165535,0.0,3095.8827999999994,0.0,2869.4645400000004,0.0,2482.9154399999998,0.0,0.0,2098.4244,0.0,0.0,0.0,0.0,1528.2293399999999,0.0,0.0,0.0,0.0,1259.01234,0.0,0.0,0.0,0.0,750.15721,0.0,0.0,0.0,0.0,771.46839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-29,0.0,0.0,38947.081005,32646.555816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10610.773212,10017.168,9508.35088,10287.46339,9229.093875,8673.524399999998,7804.79349,8200.692,0.0,7295.822625000001,6932.5551,6759.474499999999,5553.639,5543.087549999999,4830.8124800000005,0.0,5047.364525,0.0,4701.27342,0.0,4162.306783999999,0.0,3707.9738699999994,0.0,2808.95481,0.0,2524.5090149999996,2662.19625,2569.0615149999994,0.0,0.0,0.0,2104.74924,0.0,0.0,0.0,0.0,1591.7367399999998,0.0,0.0,0.0,0.0,1229.5707300000001,0.0,0.0,0.0,0.0,1101.87075,0.0,0.0,758.84193,0.0,650.79099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11534.8672,0.0,10643.01903,9659.032765,9285.493530000002,8863.99131,8426.82906,7822.633519999999,7470.75264,7421.3454249999995,6976.10852,0.0,6044.84496,6009.47971,5382.43725,0.0,0.0,4857.22128,0.0,4127.719725,0.0,3688.2324809999996,0.0,3271.2393349999998,0.0,0.0,0.0,2705.0733749999995,2517.5416,0.0,0.0,2084.73692,0.0,1872.7521799999997,0.0,0.0,0.0,0.0,1366.84195,0.0,0.0,0.0,0.0,1119.056135,0.0,0.0,0.0,0.0,943.39297,0.0,0.0,683.5555899999999,0.0,541.7219249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9956.26752,9430.40832,10618.643765,0.0,8028.270549999999,7572.37248,7484.41726,7099.051665000001,6630.01552,0.0,5749.94742,0.0,5159.253119999999,5197.06593,4999.27203,4436.2836,0.0,0.0,0.0,3570.5116000000003,0.0,3119.828386,0.0,2760.660784,0.0,2419.43049,0.0,2052.960755,2486.4198300000003,0.0,0.0,1922.86521,0.0,1949.81445,0.0,0.0,0.0,0.0,1113.51024,0.0,0.0,0.0,0.0,1119.917935,0.0,0.0,0.0,0.0,859.2132000000001,0.0,0.0,686.70104,0.0,505.52523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8734.10395,8325.425734999999,0.0,8004.4290599999995,7032.513775000001,0.0,6205.6341,5779.32057,0.0,5164.348195,6001.532880000001,4462.47249,5273.777239999999,0.0,0.0,0.0,3614.6952399999996,0.0,3232.3717049999996,0.0,2802.648195,0.0,2652.81154,0.0,2370.9556600000005,0.0,2009.76235,1943.16276,1801.7168,0.0,1526.51884,0.0,1344.03009,0.0,0.0,0.0,0.0,1126.8296,0.0,0.0,0.0,0.0,764.0878299999999,0.0,0.0,0.0,0.0,750.328635,0.0,0.0,566.1036,0.0,459.75585499999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8382.33913,0.0,7536.360089999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4103.57567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.17696,0.0,0.0,0.0,2011.96026,0.0,0.0,0.0,0.0,0.0,1426.26659,0.0,0.0,0.0,0.0,1185.33452,0.0,0.0,0.0,0.0,869.5683750000001,0.0,0.0,0.0,0.0,694.6555000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
