,24000,25000,26000,27000,28000,29000,30000,31000,32000
2022-05-21,128.94,106.4,96.95,81.77,72.2,61.02,55.28,0,0
2022-05-22,0,0,107.27,91.14,119.83,88.89,54.66,73.46,0
