,61000,62000,63000,64000,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,76000,77000,78000,79000,80000,81000,82000,83000
2024-03-27,87.76,88.85,79.58,76.31,71.37,68.71,65.93,63.55,65.38,62.25,62.33,63.3,61.37,65.2,61.0,65.24,67.58,63.25,62.64,0,63.74,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-28,105.49,101.02,96.64,90.98,83.31,80.9,77.55,73.32,67.87,65.21,64.35,59.33,58.17,56.52,54.97,52.98,53.16,58.38,62.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-29,107.29,105.37,93.9,81.56,86.13,75.22,78.14,72.92,62.31,55.04,53.86,45.09,36.6,33.84,27.43,42.52,75.52,0,0,0,60.63,0,0,0,0,0,0,0,0,0,0,0,0
