,14000,16000,16250,16500,16750,17000,17250,17500,17750,18000,19000
2023-01-08,0,0,36.61,29.96,27.94,25.63,30.29,0,0,0,0
2023-01-09,312.77,0,0,38.15,40.29,27.88,27.87,33.34,0,0,132.69
