,27500,28000,28500,29000,29500,29750,30000,30250,30500,30750,31000,31250,31500,32000,32500,33000
2023-04-13,68.43,64.02,57.53,53.84,47.06,45.38,44.95,47.79,46.1,51.73,49.29,0,0,0,0,0
2023-04-14,123.51,0,71.6,56.28,40.36,48.34,34.53,31.48,29.92,41.76,45.7,59.53,0,0,0,0
