,25000,30000,34000,35000,36000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,54000,55000,56000,60000,65000,70000
2022-03-24,97.84,78.72,71.42,0,67.55,65.8,0,63.2,0,61.75,0,61.86,0,0,0,61.86,0,0,0,0,0,0,0,0,0,0
2022-03-25,102.02,80.56,68.49,0,64.49,60.81,0,60.99,0,59.72,0,58.46,0,58.57,0,0,0,0,0,0,0,0,0,0,68.65,0
2022-03-26,0,0,70.64,0,68.24,64.69,0,62.0,0,58.29,0,57.03,0,58.85,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-27,0,0,70.98,68.79,77.8,70.84,0,68.52,0,64.66,0,63.58,0,62.72,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-28,0,91.52,77.44,0,73.85,68.56,0,65.18,0,62.09,0,60.63,0,59.15,0,59.58,0,0,0,0,0,0,0,0,0,0
2022-03-29,0,92.7,0,74.45,73.57,0,0,65.48,0,62.57,0,59.3,0,58.33,0,56.61,0,0,0,0,0,0,0,0,0,0
2022-03-30,0,0,76.94,0,76.66,71.59,0,66.68,0,62.71,0,58.45,0,57.25,0,54.58,0,54.84,0,0,0,0,0,0,0,0
2022-03-31,0,0,80.95,75.54,75.4,71.18,0,65.49,0,62.43,0,61.93,0,59.29,0,58.05,0,59.54,0,0,0,0,0,0,0,0
2022-04-01,0,86.57,78.07,72.53,70.84,67.2,0,61.17,58.3,57.99,56.63,55.64,55.56,54.91,53.89,56.61,0,0,0,0,0,0,0,0,0,0
2022-04-02,0,0,75.63,73.99,70.39,68.35,0,64.58,62.31,60.89,58.36,58.76,57.05,55.92,54.5,0,0,0,0,0,0,0,0,0,0,0
2022-04-03,0,0,79.35,71.26,0,69.78,0,67.44,60.9,62.93,61.68,58.45,56.67,54.59,55.22,0,0,0,0,0,0,0,0,0,0,0
2022-04-04,0,0,78.91,77.54,76.44,69.68,0,66.91,62.89,63.02,61.02,58.25,58.04,55.29,55.79,0,0,0,0,0,0,0,0,0,0,0
2022-04-05,0,0,81.49,76.91,77.5,70.72,0,68.5,63.8,60.88,59.36,57.77,58.32,56.5,55.43,0,0,0,0,0,0,0,0,0,0,0
2022-04-06,0,0,80.77,76.16,73.96,69.73,0,65.82,62.85,61.91,60.38,59.15,58.2,57.93,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-07,0,103.79,78.37,71.25,71.86,64.22,0,61.99,58.5,56.78,54.73,53.82,0,53.77,0,51.08,0,0,0,0,0,0,0,0,0,0
2022-04-08,0,0,0,68.67,67.08,61.98,0,56.25,54.46,56.21,51.89,50.23,45.14,47.73,63.2,51.34,0,0,0,0,0,0,0,0,0,0
2022-04-09,0,0,78.0,72.5,66.8,62.94,0,52.47,50.55,49.63,47.81,46.98,0,50.02,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-10,0,0,0,81.97,80.56,67.25,0,58.8,56.87,55.63,51.62,49.18,42.73,53.75,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-11,0,129.71,83.11,78.55,71.22,65.19,60.01,58.95,60.96,61.27,67.92,0.0,70.77,77.83,0,64.68,0,0,0,0,0,0,0,0,0,0
2022-04-12,0,0,85.44,86.57,71.26,60.63,53.58,54.81,57.96,52.96,66.92,68.77,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-13,0,0,0,0,79.19,73.03,60.64,52.1,50.32,47.57,58.84,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-14,0,0,0,0,125.68,84.72,54.1,49.37,59.45,0.0,102.35,0.0,0.0,0,207.93,0,0,0,0,0,0,0,0,0,0,0
