,16000,17000,18000,19000,20000,21000,22000,23000,24000,24500,25000,25500,26000,26500,27000,27500,28000,28250,28500,28750,29000,29250,29500,29750,30000,30250,30500,30750,31000,31500,32000,32500,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,48000,49000,50000
2023-07-20,0,0,81.19,0,69.07,0,0,0,48.36,0,45.27,0,41.53,41.24,37.07,36.96,37.5,0,36.94,0,36.68,0,36.6,0,36.77,0,36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-21,0,0,0,75.79,0,0,58.59,52.92,48.4,46.01,44.56,43.72,41.53,39.73,38.29,36.37,35.7,0,35.09,0,34.52,0,34.22,0,34.92,0,35.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-22,0,85.28,0,0,0,0,58.77,0,48.87,0,0,0,41.64,38.98,37.47,36.04,33.26,0,33.08,0,32.58,0,32.52,0,33.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-23,0,0,0,0,72.28,0,0,0,49.61,47.33,44.37,0,40.92,40.36,38.9,36.4,33.61,0,34.69,0,33.32,0,34.18,0,33.94,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-24,109.72,0,0,0,0,0,0,0,48.92,44.51,43.0,41.04,39.83,37.99,35.36,34.51,32.99,0,33.08,0,33.14,0,33.42,0,34.2,0,37.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-25,0,0,0,0,0,0,0,0,50.83,0,0,0,40.44,37.7,35.52,35.26,33.23,0,33.19,0,32.98,0,32.07,0,33.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-26,101.4,0,0,0,0,0,0,0,0,48.17,45.03,41.95,42.09,38.14,36.71,36.99,33.48,0,32.57,0,33.95,0,33.0,0,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-27,0,0,0,0,0,0,65.2,0,49.02,0,45.38,0,39.24,39.06,34.59,32.77,32.06,0,29.18,0,30.76,0,30.13,0,31.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-28,109.4,0,87.9,0,78.03,70.77,0,57.42,48.49,45.84,42.7,40.44,38.27,36.07,34.58,31.52,29.56,0,29.21,0,28.39,0,29.16,0,29.98,0,30.98,0,32.21,33.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
