,18000,19000,20000,21000,22000,23000,23500,24000,24500,25000,25500,26000,26250,26500,26750,27000,27250,27500,27750,28000,28250,28500,28750,29000,29500,30000,30500,31000,31500,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,48000
2023-04-20,0,79.77,0,0,67.85,63.96,0,59.5,58.12,57.3,54.5,53.61,0,54.21,0,52.28,0,54.08,0,50.5,0,53.19,0,49.9,0,0,0,0,0,0,0,57.95,61.22,63.6,69.29,0,0,0,0,0,0,0,0,0
2023-04-21,0,78.52,74.46,0,67.8,61.21,57.15,57.4,55.32,53.96,53.89,52.48,0,51.8,0,49.94,0,49.75,0,48.73,0,48.81,0,49.0,0,0,0,0,0,0,0,68.29,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-22,0,74.41,72.74,68.05,63.96,58.41,57.48,56.06,53.85,52.67,0,51.46,0,50.76,0,49.59,0,51.04,0,48.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-23,88.51,0,74.89,0,0,62.7,60.54,58.13,56.32,55.43,53.49,52.36,0,52.0,0,52.05,0,52.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-24,0,0,78.64,68.78,64.62,59.27,56.93,56.58,54.36,54.16,51.22,50.14,0,49.79,0,49.46,0,48.05,0,47.73,0,0,0,0,0,0,0,0,0,0,0,0,0,77.32,0,0,0,0,0,0,0,0,0,0
2023-04-25,100.38,90.02,0,68.51,0,65.67,58.82,60.49,57.58,56.22,53.78,50.34,0,49.75,0,49.96,0,49.02,0,49.36,0,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-26,103.1,93.17,80.32,73.84,72.53,65.04,65.2,62.26,57.55,59.11,56.91,56.96,0,55.15,0,53.16,0,52.81,0,54.11,0,53.2,0,51.21,53.96,52.13,58.99,58.13,59.63,60.83,63.01,65.14,68.68,66.05,0,0,0,0,0,0,0,0,0,0
2023-04-27,0,90.04,81.45,77.33,64.45,67.34,64.3,61.92,60.29,60.27,57.29,55.83,0,55.57,0,54.36,0,50.99,0,50.42,0,52.59,0,52.49,52.05,52.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-28,0,0,86.95,76.39,66.34,62.88,62.65,62.53,56.7,56.79,54.68,51.55,0,50.8,0,47.4,0,49.23,0,48.28,0,46.35,0,47.12,45.5,49.18,49.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-29,0,0,0,0,0,66.08,65.15,63.46,60.67,56.22,54.92,51.16,0,49.69,0,48.96,0,48.17,0,47.01,0,45.7,0,46.32,45.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-30,0,0,0,0,75.48,66.48,63.83,61.91,62.51,58.75,57.93,55.86,0,53.78,0,53.28,0,50.9,0,50.26,0,50.61,0,49.93,49.73,49.99,49.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,0,0,0,78.89,72.43,66.4,64.49,63.92,58.11,58.06,56.69,53.91,0,54.46,0,52.87,0,52.03,0,50.55,0,50.86,0,52.38,52.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
