,26000,26500,27000,27500,28000,28250,28500,28750,29000,29250,29500,29750,30000,30250,30500,30750,31000,31500,32000,32500,33000
2023-07-24,62.53,55.65,49.69,44.58,39.68,38.13,36.17,35.55,33.13,32.55,33.53,0.0,0,0,0,0,0,0,0,0,0
2023-07-25,76.68,66.53,48.78,53.57,40.81,41.81,41.83,39.49,37.91,36.08,31.73,0,0,0,0,0,0,0,0,0,0
2023-07-26,90.92,91.86,90.03,78.05,69.47,54.58,45.19,40.25,33.41,25.17,22.27,34.21,49.29,51.13,0,0,0,0,0,0,0
