,36000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000
2022-02-15,127.64,99.49,102.05,85.24,70.26,66.75,59.67,57.55,52.35,0,0,0
2022-02-16,0,0,0,104.3,92.17,81.43,55.87,46.91,56.03,0,0,0
