,15500,15750,16000,16250,16500,16750,17000,17250,17500,18000
2022-12-27,0,54.46,41.9,34.64,29.72,27.46,31.15,0,0,0
2022-12-28,66.45,66.08,57.36,42.37,27.18,49.52,20.08,0,0,165.28
