,2500,3000,3500,4000,4500,5000,6000,7000,8000,8500,9000,9500,9750,10000,10250,10500,10750,11000,11250,11500,12000,12500,13000,14000,16000,18000,20000,24000,28000,32000,36000
2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-02,0,0,0,74.81,0,73.69,72.1,0,74.22,0,73.59,0,0,73.78,0,0,0,0,0,0,0,0,0,75.64,76.17,75.87,76.87,0,0,0,0
2020-01-03,0,0,0,74.14,0,0,75.02,73.19,75.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04,0,0,0,0,0,0,0,75.13,0,0,0,0,0,77.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,0,0,0,75.02,0,73.26,72.72,72.96,75.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.09,81.58,0,0,0,0
2020-01-06,0,0,0,0,0,76.08,73.36,75.3,77.14,0,75.6,0,0,76.61,0,0,0,0,0,0,0,0,0,0,0,83.23,82.5,0,0,0,0
2020-01-07,0,0,0,77.92,0,78.4,0,74.63,77.0,0,78.56,0,0,77.73,0,0,0,0,0,0,79.93,0,0,0,0,0,0,0,0,0,0
2020-01-08,0,0,0,79.98,0,77.74,77.22,77.58,77.06,0,77.75,0,0,0,0,0,0,79.49,0,0,83.86,0,0,85.42,81.9,86.15,82.56,0,0,0,0
2020-01-09,0,0,0,0,0,0,76.1,0,76.21,0,0,0,0,77.44,0,0,0,77.72,0,0,78.26,0,0,0,0,0,0,0,0,0,0
2020-01-10,0,0,0,81.14,0,0,75.62,0,79.11,0,78.36,0,0,0,0,0,0,74.79,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,0,0,0,77.3,0,75.23,74.42,75.78,75.22,0,78.4,0,0,0,0,0,0,77.1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,0,0,0,0,0,76.47,74.2,73.97,0,0,0,0,0,72.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,0,0,0,74.87,0,0,71.9,72.82,72.76,0,72.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,0,0,0,77.89,0,75.04,72.84,70.4,74.14,0,70.94,0,0,72.93,0,0,0,74.78,0,0,75.11,0,0,76.98,77.01,82.65,81.97,0,0,0,0
2020-01-15,0,0,0,0,0,0,70.5,70.71,70.76,0,71.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,0,0,0,0,0,72.67,71.01,71.22,73.2,0,71.33,0,0,0,0,0,0,0,0,0,0,0,0,0,75.73,0,0,0,0,0,0
2020-01-17,0,0,0,75.32,0,0,0,70.81,71.16,0,70.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,0,0,0,74.91,0,0,0,70.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.85,0,0,0,0,0,0
2020-01-19,0,0,0,74.01,0,70.92,70.18,70.89,69.3,0,0,0,0,71.21,0,0,0,0,0,0,71.3,0,0,74.78,73.59,0,0,0,0,0,0
2020-01-20,0,0,0,0,0,69.56,69.17,69.13,68.32,0,71.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,0,0,0,0,0,71.37,70.46,70.21,0,0,72.1,0,0,76.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,0,0,0,0,0,70.6,70.54,70.64,69.84,0,70.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,0,0,0,73.72,0,68.12,67.67,68.37,67.9,0,68.6,0,0,0,0,0,0,69.96,0,0,71.03,0,0,72.62,73.52,0,0,0,0,0,0
2020-01-24,0,0,0,0,0,67.09,67.23,68.17,67.89,0,67.77,0,0,71.17,0,0,0,72.44,0,0,0,0,0,72.9,0,0,0,0,0,0,0
2020-01-25,0,0,0,70.49,0,69.49,68.23,0,70.63,0,67.86,0,0,69.51,0,0,0,0,0,0,0,0,0,0,73.66,0,0,0,0,0,0
2020-01-26,0,0,0,0,0,0,0,0,69.15,0,68.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,0,0,0,70.6,0,70.26,0,68.55,68.17,0,68.73,0,0,0,0,0,0,71.68,0,0,0,0,0,0,74.89,0,0,0,0,0,0
2020-01-28,0,0,0,73.6,0,0,69.22,67.51,68.22,0,69.09,0,0,72.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0,0,0,75.28,0,0,0,66.83,67.61,0,67.85,0,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0,0,0,0,0,70.39,69.55,67.33,69.08,0,69.33,0,0,70.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0,0,0,73.44,0,0,66.18,66.79,66.85,0,66.53,0,0,64.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
