,57000,58000,59000,60000,61000,62000,63000,64000,65000,66000,67000,68000,69000,70000
2021-11-14,87.72,81.09,81.44,74.02,69.91,67.58,69.8,70.71,67.42,61.77,0,0,0,0
2021-11-15,0,0,108.43,105.06,87.27,71.31,67.6,62.01,51.53,58.09,62.58,0,0,0
