,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000
2021-02-19,149.63,131.39,113.16,111.83,127.75,103.8,105.37,99.32,99.43,102.21,92.95,0,0,0,93.59,0,0
2021-02-20,224.15,145.19,139.22,144.55,194.66,158.61,118.45,110.73,119.73,101.97,99.22,157.79,87.85,0,0,0,0
