,10000,15000,20000,25000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,59000,60000,61000,62000,63000,65000,70000,75000,80000,85000,90000,95000,100000,105000,110000,115000,120000,125000,130000,135000,140000,150000,160000,180000,200000,240000,300000
2023-12-28,0,0,0,60.91,0,0,60.63,0,0,0,0,0,0,0,0,0,59.7,0,0,0,0,0,0,0,0,0,0,0,59.49,59.82,0,59.78,0,0,0,0,60.22,0,0,0,0,0,0,0,65.23,65.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-29,77.8,71.48,66.98,64.16,60.62,61.53,62.19,61.27,61.39,0,0,0,0,0,0,58.88,60.64,59.82,59.76,60.17,59.69,59.13,0,0,0,0,0,0,0,60.69,0,0,0,0,0,0,60.77,0,0,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-30,80.82,0,71.36,65.9,0,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.03,0,0,0,0,61.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-01,0,76.69,0,63.44,0,62.87,0,0,0,0,0,0,0,0,64.1,0,0,0,61.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-02,0,0,0,66.93,61.49,62.52,64.49,0,0,0,63.4,63.07,0,0,61.52,60.98,61.2,61.18,61.13,61.73,0,60.73,63.31,0,0,0,60.77,62.85,0,0,0,0,0,0,56.26,0,62.15,0,0,0,0,0,62.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-03,85.48,0,67.9,65.68,63.01,0,63.22,62.28,0,61.77,0,0,60.89,61.3,0,61.31,61.19,59.62,61.41,0,0,61.45,0,62.8,60.25,0,59.25,0,0,0,56.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-04,88.2,73.88,0,65.87,0,62.47,0,0,0,0,0,0,61.94,0,0,62.08,0,0,0,0,0,0,0,0,63.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-05,0,69.14,0,64.58,0,62.05,63.12,0,0,0,0,61.43,61.39,0,61.74,0,61.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-06,0,0,68.75,67.0,0,62.83,62.82,0,0,0,0,0,62.29,0,0,0,61.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-07,0,74.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-08,0,0,0,65.9,64.59,62.12,62.88,0,0,0,0,62.87,0,0,0,61.76,61.23,0,62.91,63.48,64.08,0,0,0,0,0,62.71,0,63.67,64.02,0,63.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-09,0,0,0,0,63.74,0,61.52,61.22,0,0,0,0,60.94,0,62.27,0,60.96,0,60.07,0,0,60.99,0,60.54,0,62.02,54.99,0,0,0,0,0,0,0,0,0,62.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-10,0,74.91,68.61,63.1,64.16,0,63.28,0,0,0,0,61.8,63.18,0,60.47,0,60.81,61.41,60.06,0,0,60.48,0,62.71,0,62.76,0,0,0,60.28,0,62.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-11,0,76.91,0,0,62.74,0,62.34,61.89,0,0,61.01,62.1,61.71,60.33,61.64,61.07,60.46,0,60.87,0,60.2,62.89,0,60.66,0,0,61.33,58.75,60.98,60.54,0,61.46,0,0,0,0,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-12,0,75.73,68.89,61.75,60.78,0,60.23,61.02,59.21,58.71,58.01,0,58.87,0,59.46,57.77,58.95,0,57.99,57.82,58.21,58.03,0,58.27,0,58.29,59.05,0,0,59.75,0,59.11,59.53,0,0,0,59.92,59.37,60.11,59.79,60.41,0,0,0,0,62.05,0,66.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-13,0,71.04,0,59.96,0,0,59.32,59.07,58.67,58.14,0,58.23,0,0,0,0,58.07,0,0,0,0,0,58.77,57.58,0,0,0,0,0,0,0,0,0,59.12,59.18,59.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-14,0,0,69.12,62.83,60.81,0,59.48,0,0,0,0,58.86,58.38,0,0,58.79,57.96,0,58.52,59.42,0,0,59.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-15,0,0,66.6,61.68,61.63,60.18,59.56,0,0,0,0,58.92,0,0,58.4,59.53,0,0,0,58.96,0,0,58.03,0,59.95,0,0,58.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-16,0,0,63.61,62.02,59.94,59.6,58.73,0,0,0,58.46,58.94,58.45,0,0,0,57.65,0,0,0,0,0,58.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.44,67.64,68.46,67.76,68.21,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-17,78.01,0,0,0,58.59,0,0,58.3,0,57.61,0,0,0,0,0,0,0,0,57.9,0,0,0,57.4,0,0,0,0,0,0,0,0,0,0,0,0,0,59.74,0,0,0,0,0,0,0,0,66.38,67.54,68.06,0,70.55,70.39,71.4,72.26,74.03,0,0,0,0,0,0,0,0
2024-01-18,0,0,62.67,58.69,58.9,58.17,57.46,57.2,0,55.71,56.28,0,0,0,56.01,0,0,0,0,0,57.11,56.94,56.08,55.79,0,0,0,0,0,0,0,0,0,0,0,0,57.74,0,0,0,0,0,0,0,63.45,0,65.75,0,0,0,0,0,0,0,70.74,69.64,0,0,0,0,0,0
2024-01-19,0,0,63.89,58.15,57.59,0,0,56.07,56.85,0,57.52,56.67,0,0,0,0,55.95,0,0,57.18,56.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.04,0,0
2024-01-20,0,0,0,60.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.98,0,0
2024-01-21,0,0,0,60.39,0,57.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-22,0,0,61.4,58.36,57.39,56.67,0,0,56.35,56.41,0,0,55.69,55.74,55.11,55.63,55.31,0,57.07,55.95,0,55.32,0,0,0,0,57.38,0,0,0,0,0,0,0,0,0,58.8,0,0,0,58.3,0,0,0,0,0,0,58.06,0,0,0,63.81,0,0,0,0,0,0,0,76.12,0,0
2024-01-23,0,65.73,62.36,59.11,57.79,56.97,56.67,0,0,56.1,55.68,56.78,56.74,56.61,0,56.98,57.15,57.75,56.45,56.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2,0,0,0,0,0,0,0,0,65.17,0,69.15,0,0,0,66.4,0,0,0,0,0,0,0,0,0,0
2024-01-24,75.2,68.28,0,59.09,56.82,0,0,0,0,0,55.45,55.38,0,0,0,0,0,0,56.37,57.06,0,0,0,56.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.48,0,0,0,0,0,0,0,0,0,0
2024-01-25,0,0,60.04,58.03,56.47,0,0,0,0,0,0,55.07,0,0,0,0,54.81,0,0,56.03,0,0,0,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-26,0,0,61.5,56.98,56.36,0,56.45,0,0,55.6,0,54.24,54.72,0,0,0,55.19,0,54.34,55.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-01-27,0,0,0,57.31,55.74,0,54.09,0,0,0,0,0,54.5,0,54.39,0,54.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.11,0,0,0,0,0,0,0,0,0,0
2024-01-28,0,0,0,56.84,57.41,0,54.86,0,0,0,0,54.21,0,54.28,0,0,0,0,0,0,0,0,56.41,55.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.12,0,0,0,0,0,0,0,0,0,0,53.18,0,0,0,0,0,0,0,0,0,0
