,17000,18000,19000,19500,20000,20500,21000,21500,22000,22500,23000,24000,25000
2022-06-27,139.95,115.5,93.67,81.09,74.72,69.44,64.88,76.23,0,0,0,0,0
2022-06-28,0,0,113.72,88.25,64.63,55.93,50.51,47.36,0,0,0,0,0
