date,9125,9250,9375,9500,9625,9750,9875,10000
2020-02-23,62.41,58.14,57.0,48.51,43.67,50.43,39.9,41.71
2020-02-24,83.36,82.64,72.63,58.14,40.2,45.56,51.06,0.0
