date,7250,7500,7750,8000,8250,8500,8750,9000,9250,9500,9750,10000,10250,10500,12000
2020-02-20,0.0,75.02,70.91,65.3,64.26,62.77,59.1,59.8,58.72,58.72,57.1,64.16,60.53,0.0,0.0
2020-02-21,0.0,73.81,68.4,65.24,59.75,56.11,53.91,54.73,51.3,52.0,52.53,51.55,0.0,0.0,0.0
2020-02-22,0.0,76.41,68.22,63.88,56.16,54.19,51.45,51.41,49.31,48.87,48.76,45.63,0.0,0.0,0.0
2020-02-23,0.0,0.0,73.45,71.32,66.32,62.55,58.06,54.9,53.08,49.97,47.09,48.03,0.0,0.0,0.0
2020-02-24,0.0,75.92,0.0,70.06,59.79,58.87,52.87,50.24,48.91,49.46,49.5,51.39,0.0,0.0,0.0
2020-02-25,0.0,78.78,73.57,66.36,61.51,59.16,56.32,55.9,53.36,51.38,51.35,54.64,0.0,0.0,0.0
2020-02-26,77.45,72.12,70.81,62.33,62.54,59.22,56.9,57.89,61.55,58.15,60.84,63.19,0.0,0.0,0.0
2020-02-27,75.94,72.76,64.99,62.24,61.58,57.14,56.25,56.17,54.32,57.06,53.69,0.0,0.0,0.0,0.0
2020-02-28,73.96,63.53,64.0,58.35,55.12,52.31,56.19,54.25,65.73,64.88,0.0,0.0,0.0,0.0,0.0
2020-02-29,76.35,70.11,65.07,59.69,53.3,52.59,45.37,53.95,55.79,48.62,0.0,0.0,0.0,0.0,0.0
2020-03-01,82.47,68.15,67.34,62.58,58.32,56.53,56.72,49.65,66.55,60.56,0.0,0.0,0.0,0.0,0.0
2020-03-02,97.27,97.79,72.64,65.97,63.89,58.65,55.83,54.77,53.78,50.85,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,95.2,85.83,69.84,58.93,48.36,49.84,44.73,58.3,67.73,70.06,0.0,0.0,0.0,0.0
2020-03-04,139.34,105.8,98.24,69.84,63.94,46.23,49.88,39.75,67.87,76.78,0.0,0.0,0.0,0.0,375.34
2020-03-05,0.0,0.0,0.0,138.44,96.11,83.75,88.09,43.59,62.94,89.16,106.99,128.69,179.82,181.62,0.0
