date,54000,55000,56000,57000,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64500,65500
2024-10-02,73.78,76.49,66.98,63.19,56.96,56.35,51.73,50.74,50.07,52.42,52.81,50.68,50.85,51.45,0.0,0.0,55.14,0.0
2024-10-03,86.55,82.61,79.2,70.92,60.33,56.2,57.58,54.62,54.05,54.0,52.91,51.55,52.14,0.0,0.0,54.2,53.32,61.71
2024-10-04,122.17,107.22,86.07,80.27,71.37,65.85,66.54,61.42,52.61,44.15,36.97,26.32,24.74,15.85,56.32,0.0,67.95,0.0
