date,49000,50000,51000,52000,52500,53000,53500,54000,54500,55000,55500,56000,56500,57000,57500,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,64000,65000,68000,69000
2024-08-07,88.34,83.96,78.83,73.04,0.0,68.39,67.81,65.3,64.41,66.56,64.85,61.48,65.09,67.03,70.04,0.0,0.0,63.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,131.83,115.34,120.0,114.34,108.4,111.18,119.19,112.83,110.16,102.99,108.26,94.45,104.01,95.86,98.36,89.9,83.79,86.21,90.69,82.99,85.13,85.86,83.3,81.76,81.44,87.87,0.0,84.16,0.0,0.0
2024-08-09,0.0,0.0,137.96,169.94,150.28,106.89,132.11,104.65,116.67,98.75,111.14,90.82,94.62,92.48,83.4,72.4,70.47,64.19,66.13,61.37,58.22,54.37,62.48,73.28,70.16,67.14,77.47,0.0,0.0,0.0
