,30000,32000,33000,34000,35000,36000,37000,38000,39000,40000,41000,42000
2022-01-28,127.93,130.13,110.38,101.42,87.41,78.59,68.51,63.11,0,58.78,0,0
2022-01-29,0,134.21,119.58,104.99,90.61,87.42,74.1,55.77,53.96,0,0,0
