date,30000,35000,40000,42000,44000,45000,46000,47000,48000,49000,50000,51000,52000,53000,54000,55000,56000,57000,58000,58500,59000,59500,60000,60500,61000,61500,62000,62500,63000,63500,64000,64500,65000,65500,66000,67000,68000,69000,70000,71000,72000,73000,74000,75000,76000,77000,78000,79000,80000,82000,84000,85000,86000,88000,90000,92000,94000,95000,100000,105000,110000,115000,120000
2024-05-30,0.0,0.0,64.81,0.0,0.0,63.12,0.0,0.0,0.0,0.0,60.52,0.0,60.96,0.0,60.01,0.0,60.07,0.0,59.5,0.0,0.0,0.0,58.92,0.0,58.65,0.0,57.88,0.0,57.84,0.0,0.0,0.0,57.74,0.0,59.1,59.2,57.9,58.62,58.32,58.88,0.0,58.07,68.29,48.77,58.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,77.55,70.64,66.92,0.0,0.0,62.31,0.0,0.0,0.0,0.0,58.76,0.0,58.1,0.0,58.93,0.0,57.97,0.0,57.19,0.0,0.0,0.0,57.6,0.0,57.44,0.0,56.67,0.0,56.8,0.0,56.77,0.0,56.94,0.0,57.41,57.39,57.49,57.77,57.24,56.76,56.61,0.0,56.69,58.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-01,0.0,68.79,64.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.53,0.0,57.33,0.0,57.74,0.0,0.0,0.0,57.18,0.0,0.0,0.0,57.51,0.0,57.4,0.0,0.0,0.0,0.0,0.0,56.96,0.0,0.0,0.0,0.0,0.0,0.0,57.38,0.0,56.21,56.29,56.22,56.28,56.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-02,75.14,69.6,64.14,0.0,0.0,61.24,0.0,0.0,0.0,0.0,58.42,0.0,57.93,0.0,58.08,0.0,56.93,0.0,56.66,0.0,0.0,0.0,0.0,0.0,56.82,0.0,56.09,0.0,56.85,0.0,0.0,0.0,56.78,0.0,56.83,0.0,57.33,56.49,56.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,80.57,71.96,66.31,0.0,0.0,62.42,0.0,0.0,0.0,0.0,59.95,0.0,59.12,0.0,57.93,0.0,57.76,0.0,57.78,0.0,0.0,0.0,57.95,0.0,58.06,0.0,57.14,0.0,58.03,0.0,57.46,0.0,57.01,0.0,58.0,57.54,57.56,57.84,57.71,57.79,58.03,57.84,58.02,58.38,58.06,58.24,58.22,0.0,58.57,0.0,0.0,0.0,0.0,59.32,0.0,0.0,0.0,59.92,0.0,0.0,63.96,0.0,0.0
2024-06-04,78.53,71.68,67.14,0.0,0.0,62.01,0.0,0.0,0.0,0.0,59.1,0.0,58.41,0.0,58.11,0.0,57.58,0.0,56.37,0.0,0.0,0.0,56.88,0.0,57.07,0.0,55.94,0.0,56.48,0.0,56.55,0.0,56.61,0.0,0.0,57.03,56.62,56.41,57.38,56.73,57.15,57.79,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-05,0.0,73.44,67.17,0.0,0.0,63.56,0.0,0.0,0.0,0.0,60.47,0.0,60.16,0.0,59.23,0.0,58.56,0.0,58.32,0.0,0.0,0.0,58.31,0.0,57.7,0.0,58.6,0.0,57.66,0.0,57.4,0.0,57.96,0.0,57.58,57.54,57.67,57.77,57.97,57.85,57.43,58.34,58.56,58.77,0.0,0.0,0.0,59.92,59.26,0.0,0.0,0.0,60.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-06,0.0,68.66,63.94,0.0,0.0,61.85,0.0,0.0,0.0,0.0,59.16,0.0,57.85,0.0,57.25,0.0,56.27,0.0,56.51,0.0,0.0,0.0,56.72,0.0,56.41,0.0,57.3,0.0,55.86,0.0,55.87,0.0,56.69,0.0,56.48,56.69,57.39,55.95,56.53,56.5,56.59,56.67,57.19,57.2,57.38,57.48,0.0,58.61,57.85,58.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-07,75.7,69.46,63.85,0.0,0.0,59.61,0.0,0.0,0.0,0.0,56.53,0.0,55.77,0.0,55.76,0.0,55.65,0.0,55.68,0.0,0.0,0.0,54.96,0.0,54.05,0.0,54.02,0.0,53.65,0.0,54.08,0.0,54.1,0.0,54.25,54.5,54.29,54.45,54.44,54.54,55.71,55.41,55.77,55.68,0.0,0.0,0.0,0.0,56.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
