date,90000,92000,94000,96000,97000,98000,99000,100000,101000,102000,103000,103500,104000,104500,105000,105500,106000,107000,108000,109000,110000
2025-01-20,94.74,0.0,82.82,77.3,76.11,81.08,73.8,71.42,77.46,77.8,78.98,0.0,80.46,0.0,73.96,0.0,80.66,81.08,79.63,87.47,91.12
2025-01-21,120.45,101.18,96.3,87.04,74.66,77.42,73.59,69.61,68.22,70.42,64.22,0.0,64.55,0.0,62.81,0.0,62.26,65.62,67.26,0.0,79.93
2025-01-22,120.79,103.47,118.28,78.28,81.75,84.85,71.1,65.67,58.98,46.34,46.94,45.18,44.46,52.64,46.8,52.76,59.66,61.8,0.0,0.0,72.33
