date,67000,68000,69000,70000,71000,72000,73000,74000,74500,75000,75500,76000,76500,77000,77500,78000,78500,79000,79500,80000,81000,82000,83000,84000
2025-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.59,0.0,0.0,0.0,76.06,0.0,0.0,0.0,71.53,0.0,60.69,0.0,62.81,59.16,56.73,54.11,52.03
2025-04-06,0.0,0.0,0.0,0.0,0.0,125.03,0.0,110.69,0.0,108.06,0.0,97.39,0.0,95.48,0.0,89.22,0.0,86.49,0.0,90.39,97.22,99.64,106.36,86.67
2025-04-07,213.77,146.35,137.62,134.35,119.88,124.28,103.97,111.77,107.61,101.22,93.9,88.4,79.28,78.68,67.32,59.37,57.71,53.1,48.95,48.86,54.75,94.36,0.0,125.8
