date,37500,38000,38500,39000,39500,40000,40500,41000,41250,41500,41750,42000,42250,42500,42750,43000,43250,43500,43750,44000,44250,44500,44750,45000,45250,45500,45750,46000
2023-12-31,74.39,69.03,64.68,59.7,58.21,57.51,53.47,48.31,47.41,50.5,49.44,48.54,51.15,50.25,49.35,47.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-01,68.9,67.24,68.97,89.73,85.89,78.41,71.2,64.76,48.0,59.1,49.29,62.87,53.09,60.87,58.46,55.23,57.16,55.27,53.68,54.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-01-02,0.0,0.0,0.0,100.05,89.85,98.59,83.67,82.89,85.46,87.08,100.68,81.52,86.49,81.83,74.39,76.29,70.41,61.9,57.47,53.25,52.14,49.22,45.21,41.01,51.74,46.37,54.8,60.37
