,36000,37000,38000,39000,40000,41000,42000,43000,44000,45000
2022-03-18,96.04,81.99,82.33,69.84,66.68,58.41,55.7,0,0,0
2022-03-19,0,0,160.31,96.56,69.2,58.13,45.58,32.81,0,0
