,26000,27000,28000,29000,30000,31000,32000,33000,34000,35000,36000,37000,38000
2022-05-09,157.8,145.87,128.14,110.92,108.26,92.07,103.41,96.88,73.77,0,0,0,0
2022-05-10,227.18,213.86,175.44,136.12,110.2,90.05,68.49,77.82,0,0,0,0,0
