date,26500,27000,27500,28000,28250,28500,28750,29000,29250,29500,29750,30000,31000,32000,33000
2023-05-05,54.46,54.29,47.11,43.1,40.33,39.78,37.27,40.39,34.3,36.9,35.24,0.0,0.0,0.0,0.0
2023-05-06,0.0,47.73,46.99,37.91,37.89,33.32,31.97,28.48,30.33,36.8,36.09,56.32,60.75,101.13,98.99
2023-05-07,101.53,0.0,48.01,57.15,48.05,50.2,42.79,0.0,0.0,0.0,0.0,46.09,0.0,0.0,0.0
