Variable,Proposed_Coef,Proposed_p_value,Proposed_Sig,Proposed_R_squared,Proposed_MSE,Proposed_R2_OS,BF_Coef,BF_p_value,BF_Sig,BF_R_squared,BF_MSE,BF_R2_OS
Kurtosis,-0.013026220748958234,0.06232727891795696,*,0.04800323902024606,0.007354352245561652,-0.09354774560793211,-0.012926817006236395,0.06396789370349477,*,0.047746861599949564,0.007356332808872321,-0.09407599314567427
Median,-0.014929916606994564,0.04791022933388357,**,,,,-0.014785980941825842,0.04972603960547199,**,,,
Fear and Greed Index,0.01611342609163771,0.03233950237320091,**,,,,0.016068365252792913,0.032778941294827904,**,,,
OOS Setting,"expanding, initial_window=120",,,,,,"expanding, initial_window=120",,,,,
