Observation Date,Expiration Date,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T Return,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
2020-01-31,2020-02-07,9367.595471555447,645.0962103950933,0.54572296926907,2.075851242926639,8414.7,8972.4,9320.0,9710.9,10492.7,0.0480970391203709,0.1028215682751029,-0.054678481266706,0.0837716258575756,0.1097563098555002,55,18.84
2020-02-07,2020-02-14,9788.433068112989,736.293800814897,0.6179026070933823,3.371313116136199,8701.5,9362.9,9748.1,10161.3,11014.1,0.0526590180768729,0.0480970391203709,0.1028215682751029,-0.054678481266706,0.0837716258575756,56,15.47
2020-02-21,2020-02-28,9685.00935830054,701.8923077081982,-0.0453785755515167,2.494506832039912,8576.4,9294.1,9681.1,10077.3,10807.5,-0.1072493518904024,-0.0666843408721539,0.0526590180768729,0.0480970391203709,0.1028215682751029,44,17.08
2020-05-15,2020-05-22,9331.372458201857,1087.6500289354628,-0.8776101679892462,3.5236215349423503,7474.3,8797.300000000001,9414.9,9980.7,10895.3,-0.0158411484644018,0.1045727316072641,0.1622412093914795,0.0657313264064587,0.0239916595626999,44,31.89
2020-05-22,2020-05-29,9175.814756483322,810.7183248178204,-0.2157611923347089,1.5234235185803948,7824.6,8706.6,9200.6,9670.9,10441.8,0.0276480515980752,-0.0158411484644018,0.1045727316072641,0.1622412093914795,0.0657313264064587,42,28.16
2020-05-29,2020-06-05,9418.072385399211,679.3005333862443,0.296129063978193,1.685147450949537,8358.9,9002.9,9399.0,9806.2,10546.6,0.0203795016623089,0.0276480515980752,-0.0158411484644018,0.1045727316072641,0.1622412093914795,48,27.51
2020-06-05,2020-06-12,9652.267743464436,840.380269099764,-0.6551257932406163,3.442636662980484,8266.5,9225.4,9691.1,10139.5,10905.4,-0.0163503201493263,0.0203795016623089,0.0276480515980752,-0.0158411484644018,0.1045727316072641,53,24.52
2020-07-10,2020-07-17,9228.533136936949,486.268471059408,0.1946004587551069,1.6956228927321757,8464.0,8936.7,9217.8,9507.3,10031.4,-0.0145339510832802,0.0250828014691888,-0.0114103673313128,-0.0160263796409779,-0.0165007237769202,41,27.29
2020-07-17,2020-07-24,9142.470515387196,498.0663625802821,-0.2006893640609736,1.797215796089194,8322.4,8858.6,9153.2,9440.2,9924.1,0.0410369518835035,-0.0145339510832802,0.0250828014691888,-0.0114103673313128,-0.0160263796409779,41,25.68
2020-07-24,2020-07-31,9536.732946681064,630.421134709815,0.5088983078836475,1.3390072779522324,8554.800000000001,9163.6,9540.8,9931.4,10624.9,0.1726730145037355,0.0410369518835035,-0.0145339510832802,0.0250828014691888,-0.0114103673313128,53,25.84
2020-07-31,2020-08-07,11414.099783063337,952.7482446755772,1.335895171177324,5.135751108591455,10120.9,10818.5,11315.3,11864.0,13041.2,0.0225716951645679,0.1726730145037355,0.0410369518835035,-0.0145339510832802,0.0250828014691888,75,24.46
