,T Return,Mean,Std,Skewness,Kurtosis,5% Quantile,25% Quantile,Median,75% Quantile,95% Quantile,T-1 Return,T-2 Return,T-3 Return,T-4 Return,Fear and Greed Index,VIX
T Return,1.0,-0.07850224105488955,-0.12196034906097683,0.024398953027208334,-0.1068464036632234,-0.07063978854662291,-0.07809606993249828,-0.07912680914778758,-0.0795748809500444,-0.08062196784881145,0.0691706231667318,-0.04923859785431806,-0.11323938502728259,0.0948643398293269,0.10215015854356153,0.01482804713092877
Mean,-0.07850224105488955,1.0,0.7053711796421629,0.0769966999008515,-0.12819837811994422,0.9958315484180275,0.9995389621170172,0.9999513645823634,0.9996904335667659,0.9972969106167483,0.06084475519529155,0.09578097712590039,0.04837272509902323,0.04258799375683031,0.39183414204974454,-0.39124942134196705
Std,-0.12196034906097683,0.7053711796421629,1.0,0.34238786655358416,0.3430222875298482,0.6419379322752837,0.6849365959864631,0.7028868465079761,0.7193546773446367,0.7522258341578848,0.16801183369116332,0.22573118206766496,0.16406208798049138,0.056934760972374925,0.43251784013140454,-0.2155849354735615
Skewness,0.024398953027208334,0.0769966999008515,0.34238786655358416,1.0,0.28652429559627707,0.06236450265707279,0.06419443173212223,0.0690522005246746,0.07662688647550961,0.10267164376241947,0.40922276204497543,0.3479643271968886,0.1884874703460628,0.16195633363785683,0.4815682948043937,-0.23576863782688484
Kurtosis,-0.1068464036632234,-0.12819837811994422,0.3430222875298482,0.28652429559627707,1.0,-0.1648278862430603,-0.14104694515486094,-0.13227639780995754,-0.1234050130169146,-0.0964014602936091,0.035036832893860274,0.24496126131335352,0.09697790628202886,0.023919227952480113,0.10303768343569852,0.08993248617225985
5% Quantile,-0.07063978854662291,0.9958315484180275,0.6419379322752837,0.06236450265707279,-0.1648278862430603,1.0,0.9979202731321153,0.9958525126631621,0.9933526000880734,0.986809372542257,0.05087487658983833,0.08408539305658803,0.03303985353083809,0.04241192293417062,0.3781892006234929,-0.4005320805414864
25% Quantile,-0.07809606993249828,0.9995389621170172,0.6849365959864631,0.06419443173212223,-0.14104694515486094,0.9979202731321153,1.0,0.9996179210307841,0.9985821512327457,0.994636851411214,0.05487885757160412,0.08949866949878177,0.04258350871736134,0.03964110834953679,0.38338414968284634,-0.39266911160639345
Median,-0.07912680914778758,0.9999513645823634,0.7028868465079761,0.0690522005246746,-0.13227639780995754,0.9958525126631621,0.9996179210307841,1.0,0.9996631491406698,0.9969961830265854,0.05837832594775515,0.09299514226570973,0.047118784552354014,0.04027746904146448,0.388009311984214,-0.3898853199489454
75% Quantile,-0.0795748809500444,0.9996904335667659,0.7193546773446367,0.07662688647550961,-0.1234050130169146,0.9933526000880734,0.9985821512327457,0.9996631491406698,1.0,0.9986234418993158,0.062323294049098546,0.09698289864163691,0.05193631087213783,0.042277986004407964,0.393779034130884,-0.38803824955354105
95% Quantile,-0.08062196784881145,0.9972969106167483,0.7522258341578848,0.10267164376241947,-0.0964014602936091,0.986809372542257,0.994636851411214,0.9969961830265854,0.9986234418993158,1.0,0.0735674958407509,0.10855715823398719,0.06323479930632361,0.048732917819540145,0.40926870781716723,-0.38576144966319315
T-1 Return,0.0691706231667318,0.06084475519529155,0.16801183369116332,0.40922276204497543,0.035036832893860274,0.05087487658983833,0.05487885757160412,0.05837832594775515,0.062323294049098546,0.0735674958407509,1.0,0.12184798242658344,0.003969991516998845,-0.04669470200696259,0.43463986988212905,-0.08641201963696352
T-2 Return,-0.04923859785431806,0.09578097712590039,0.22573118206766496,0.3479643271968886,0.24496126131335352,0.08408539305658803,0.08949866949878177,0.09299514226570973,0.09698289864163691,0.10855715823398719,0.12184798242658344,1.0,0.044704887360187025,-0.11891547618602231,0.3873134263066602,-0.17470849205135297
T-3 Return,-0.11323938502728259,0.04837272509902323,0.16406208798049138,0.1884874703460628,0.09697790628202886,0.03303985353083809,0.04258350871736134,0.047118784552354014,0.05193631087213783,0.06323479930632361,0.003969991516998845,0.044704887360187025,1.0,0.12992068035119858,0.2514887477684794,-0.1327985651457996
T-4 Return,0.0948643398293269,0.04258799375683031,0.056934760972374925,0.16195633363785683,0.023919227952480113,0.04241192293417062,0.03964110834953679,0.04027746904146448,0.042277986004407964,0.048732917819540145,-0.04669470200696259,-0.11891547618602231,0.12992068035119858,1.0,0.2525343173884418,-0.06998347946024795
Fear and Greed Index,0.10215015854356153,0.39183414204974454,0.43251784013140454,0.4815682948043937,0.10303768343569852,0.3781892006234929,0.38338414968284634,0.388009311984214,0.393779034130884,0.40926870781716723,0.43463986988212905,0.3873134263066602,0.2514887477684794,0.2525343173884418,1.0,-0.4810132451888374
VIX,0.01482804713092877,-0.39124942134196705,-0.2155849354735615,-0.23576863782688484,0.08993248617225985,-0.4005320805414864,-0.39266911160639345,-0.3898853199489454,-0.38803824955354105,-0.38576144966319315,-0.08641201963696352,-0.17470849205135297,-0.1327985651457996,-0.06998347946024795,-0.4810132451888374,1.0
