變數組合,Skewness_係數,Skewness_p值,Skewness_顯著性,變數數量,R平方,MSE
Skewness + Mean + Std + Median + T-2 Return,0.193933906024854,2.229851978490173e-10,***,5,0.03892448748206523,0.9602719376746921
Skewness + Mean + Std + Median,0.1931216541966746,2.719092534456104e-10,***,4,0.03648541703938313,0.962708968760817
Skewness + Mean + Median + T-2 Return,0.18587198997468413,7.754876195138814e-10,***,4,0.03643886162577037,0.9627554852484986
Skewness + Mean + Median,0.18495892045167361,9.60666882819496e-10,***,3,0.03394341711090609,0.9652488432712937
Skewness + T-2 Return,0.16738546074565885,5.663104265239341e-09,***,2,0.030355911572865324,0.9688333492227645
僅 Skewness,0.16603732674393695,7.638774120790299e-09,***,1,0.027568393872272834,0.9716185362229381
