變數組合,Kurtosis_係數,Kurtosis_p值,Kurtosis_顯著性,變數數量,R平方,MSE
Kurtosis + Mean + Median + T-2 Return,-0.1117719668829518,0.00018921500911165797,***,4,0.0169104847026188,0.9822675340972996
Kurtosis + Mean + Median,-0.10904625279758476,0.0002688988259242948,***,3,0.014180749061718623,0.9849949873505403
Kurtosis + T-2 Return,-0.09895550620397328,0.0006174807607980228,***,2,0.012115273573590435,0.9870587358524743
僅 Kurtosis,-0.09579388733707855,0.0009098021588732048,***,1,0.0091764688511492,0.9899950833803322
