,count,mean,std,min,25%,50%,75%,max
T Return,246.0,0.006753695944731637,0.0876358499004241,-0.492833739120552,-0.028787833133961625,0.00327513715752515,0.04660112745755578,0.3246760764207447
Mean,246.0,46941.56760351014,28987.252738532137,6079.8452057261,25292.14747869672,41369.14745939459,61975.5379352735,117404.89624988528
Std,246.0,3540.543155182439,2107.834094420797,485.2653428888391,1640.3156986616202,3324.034519813371,5202.042728875767,10272.144268185382
Skewness,246.0,0.06156108774021379,0.36726931828644516,-1.0086118989578403,-0.17740708552767026,0.10533738078020799,0.2689805464166136,1.124735709082268
Kurtosis,246.0,1.6179852446985934,0.632275201520758,0.2439190495160152,1.1482302191508875,1.5032520233919597,1.9019920217964688,3.566690273995844
Median,246.0,46917.327642276425,28974.1714864817,6115.400000000001,25298.875,41414.3,62000.05,117717.6
Fear and Greed Index,246.0,50.41463414634146,20.863766787411194,9.0,32.0,50.0,70.0,95.0
VIX,246.0,20.281829268292682,6.927312190968434,11.93,15.799999999999999,18.7,22.665,66.04
T-1 Return,246.0,0.008099502506426999,0.07234313335612647,-0.3515568333095296,-0.023369244416753122,0.0040305204001966,0.043658859131819425,0.2110530712560365
T-2 Return,246.0,0.005395730519502311,0.08244455002154823,-0.492833739120552,-0.028463625610187025,0.0030428798993773,0.043658859131819425,0.3071267293880281
T-3 Return,246.0,0.005915845241545403,0.08844151921029597,-0.492833739120552,-0.02800999151503095,0.003961713913702,0.043658859131819425,0.3246760764207447
T-4 Return,246.0,0.007293496295500211,0.08902987840358295,-0.492833739120552,-0.028463625610187025,0.003961713913702,0.04788242218086805,0.3246760764207447
