date,19000,21000,22000,23000,24000,25000,26000,27000,28000,29000,30000,30500,31000,31500,32000,32500,33000,33500,34000,34500,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40000,40500,41000,41500,41750,42000,42250,42500,42750,43000,43250,43500,43750,44000,44250,44500,44750,45000,46000,47000,48000,58000
2023-11-16,14.463772,0.0,0.0,0.0,25.602422999999998,0.0,56.05938,75.629505,89.27959999999999,119.30120399999998,197.087935,0.0,268.5177,289.32112,343.878245,0.0,573.26016,614.93879,877.0644750000001,1056.057225,1101.49164,1502.71464,1536.7549500000002,1773.94651,1955.435165,2460.0298800000005,2962.50075,2482.452315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-17,0.0,0.0,0.0,0.0,0.0,32.376537,47.487595999999996,62.098806999999994,83.98314300000001,113.48476899999999,157.00375,181.55689999999998,218.31456000000003,255.15259000000003,309.51951,417.66263499999997,419.36452,581.15024,791.6477799999999,972.72414,985.23135,1079.66873,1438.039765,1555.4745000000003,1983.445205,2439.0126,0.0,0.0,3345.8155199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21183.3152
2023-11-18,0.0,0.0,0.0,0.0,0.0,0.0,25.469765999999996,36.53506,58.27672,69.467135,138.129848,163.57976999999997,160.31884,182.9513,237.48426,275.42992499999997,347.56396,419.54208,547.92705,641.2372750000001,840.35192,1024.31476,1207.79274,1445.9464799999998,1803.5419050000003,2131.2205200000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-19,0.0,0.0,10.978707,14.976748000000002,21.885911999999998,18.27783,21.984503999999998,40.228089,54.96468000000001,84.96705999999999,114.603714,123.42300300000001,153.28932400000002,202.20464,219.60402,292.39336,332.76626999999996,372.1753,412.62913999999995,560.8311,775.10538,906.869215,937.53175,1161.09818,1420.59352,1665.259865,1980.4753799999999,2262.684875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-20,11.248928999999999,0.0,0.0,14.968620000000001,0.0,26.087005,0.0,29.858368000000002,52.089394,71.210765,101.41858800000001,93.754475,123.96667800000002,148.43332,187.35675,243.13145999999998,281.45212499999997,355.264755,358.65464000000003,471.67762500000003,654.7857750000001,804.451095,920.46304,1127.2241999999999,1448.95881,1677.5365499999998,2092.191045,2075.38155,2795.808035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20598.76562
2023-11-21,0.0,0.0,0.0,14.774172,25.505578,0.0,32.64381,42.99708,57.37190400000001,82.440717,110.21220000000001,110.86254000000001,148.14360000000002,159.043025,234.832,272.32695,378.213255,399.89554,662.507015,789.3793599999999,849.57811,998.468075,1267.8617000000002,1654.87944,1642.65345,1738.37725,2372.31995,0.0,2975.81445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-22,0.0,0.0,0.0,14.917356,18.243085,0.0,18.701025,39.54462600000001,58.600624,66.915414,74.60726,144.03992000000002,144.97428,153.225282,131.08613,176.849579,206.92055999999997,381.04542000000004,369.52930000000003,548.5089,578.111405,670.0242599999999,823.76118,924.6390650000001,1270.0224,1480.64723,1658.8637999999999,2625.4368,0.0,0.0,0.0,3378.749405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-23,3.7479660000000004,0.0,7.450332000000001,11.195907,0.0,18.676840000000002,18.61266,0.0,0.0,0.0,52.287549999999996,78.74475,93.8873,100.650168,122.960079,130.4093,167.85769499999998,242.13052499999998,261.39491,335.71538999999996,519.81328,596.10352,727.218375,1007.88732,1155.69116,1399.726125,1909.2867949999998,1980.28511,0.0,2785.080435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-24,0.0,7.500548,7.500662,0.0,7.534144,11.370144,7.545536,15.139088000000001,18.822419999999997,26.491093999999997,37.612500000000004,49.054668,78.78549,57.51894,79.39220099999999,113.45658,124.741749,149.24929500000002,226.37292,264.28465,322.13580500000006,416.18269,604.4267199999999,738.49386,978.11766,1169.55808,1363.8272399999998,1809.5712,2150.8590900000004,2476.22226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.355465,0.0,15.131128,0.0,34.083242999999996,0.0,0.0,60.521584,71.714265,102.114405,132.25611,151.33548000000002,207.42182999999997,282.65385,378.0136,471.51300000000003,660.6698,865.97576,1058.30508,1392.99487,1551.5560300000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-26,0.0,0.0,3.7735320000000003,0.0,0.0,11.161928999999999,11.171420999999999,0.0,11.336415,18.698435000000003,0.0,0.0,41.065298999999996,52.135104,60.005696,96.685368,112.23198000000001,132.24281000000002,186.65665,225.756,337.69386,429.25452,526.17474,660.24315,1009.7595,1236.07671,1474.34736,1765.7185600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-27,3.735443,0.0,0.0,0.0,7.4014880000000005,0.0,0.0,11.09727,18.53479,0.0,25.806396,33.150267,47.852597,51.785412,66.27978,81.391596,93.133025,129.487225,159.721737,204.86724499999997,333.11024999999995,372.54620000000006,645.8681250000001,742.7346000000001,931.30975,1332.40176,1508.260905,0.0,2664.6816750000003,2544.21524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-28,0.0,3.7023120000000005,0.0,0.0,0.0,7.63508,0.0,11.108661,14.789088000000001,18.958830000000003,29.629712,30.512815999999997,30.417584000000005,30.293432000000003,41.647881,52.711596,68.22066600000001,76.6348,109.909188,186.64705,166.765016,246.337715,339.96176999999994,453.28404,536.0117,725.34153,1079.97786,1311.262545,1689.7713549999999,1931.1710050000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-29,0.0,0.0,0.0,0.0,3.815574,3.799614,3.773115,0.0,7.62054,7.558068,19.012595,18.993315,22.671738,26.477353,42.032396999999996,57.13383,68.60583,91.453584,110.46447999999998,143.816472,167.977964,263.46866,357.66303,453.32039999999995,623.792235,885.71547,1149.636805,1471.29957,1474.2516249999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
