date,45000,50000,53000,54000,55000,56000,57000,58000,59000,60000,60500,61000,62000,62500,63000,63500,64000,64500,65000,65500,66000,66500,67000,67500,68000,68500,69000,69500,70000,70500,71000,71500,72000,72500,73000,73500,74000,74500,75000,75500,76000,77000,78000,79000,80000,81000,83000
2024-04-12,0,0,0,0,0,0,0,0,60.257673,73.961492,0,86.944429,154.02069600000002,0,200.67594,0,334.1327,334.5313,435.673095,436.99903,736.56517,870.36716,907.553835,1146.34655,2066.64631,3594.46505,865.0998750000001,1640.25792,2959.04752,3550.16578,1096.51278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-13,0,19.347366,38.391174,51.65728,52.287136,77.40003599999999,110.15201,149.293345,212.850099,265.01321700000005,280.006153,294.10659,671.97837,0,715.31471,0,1220.29153,1357.4736,1369.17732,1657.156005,1891.4873,4324.71921,5023.5066,811.8048,6051.801600000001,6303.608235000001,6372.207555000001,0,7677.943525,3168.79593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-04-14,6.461617,12.593406,6.347759,6.4390730000000005,6.525813,6.567698,6.53293,13.154092000000002,13.15092,32.547795,26.327044,58.280391,65.72471,65.7903,78.94152,260.41048,261.94624,391.64226,328.78055,493.319325,950.89521,3109.87761,2553.32424,0,5451.230339999999,4926.823025000001,4306.075165,6408.755675,5602.1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
