model_id,variables,variable,coefficient,p_value
model_0001,Skewness,const,0.0023652496415205704,0.007338554053725868
model_0001,Skewness,Skewness,0.004811123799266811,7.638774120790411e-09
model_0002,Skewness + Mean,const,0.001757654030793528,0.3086235387974204
model_0002,Skewness + Mean,Skewness,0.004900952437575963,1.2951111737729253e-08
model_0002,Skewness + Mean,Mean,1.3330649438535208e-08,0.6822586758581903
model_0003,Skewness + Std,const,0.0029575885464791286,0.011581264690604283
model_0003,Skewness + Std,Skewness,0.004814158965665277,7.525197440239534e-09
model_0003,Skewness + Std,Std,-3.5795551076095304e-07,0.44163717014813564
model_0004,Skewness + Median,const,0.0020482131408375197,0.23852813183662994
model_0004,Skewness + Median,Skewness,0.004854978706129278,1.5689480850105364e-08
model_0004,Skewness + Median,Median,6.852415466677604e-09,0.83229284804974
model_0005,Skewness + Fear and Greed Index,const,0.0017568633969885059,0.4384307981600123
model_0005,Skewness + Fear and Greed Index,Skewness,0.004816304650778445,7.521813170502201e-09
model_0005,Skewness + Fear and Greed Index,Fear and Greed Index,1.1980200171834881e-05,0.770857156879506
model_0006,Skewness + VIX,const,-0.0004741686041944465,0.8703029779628728
model_0006,Skewness + VIX,Skewness,0.004720089870073517,1.7343775954439932e-08
model_0006,Skewness + VIX,VIX,0.00013916488794926167,0.3049711250036131
model_0007,Skewness + T-1 Return,const,0.0024338224639853037,0.005915331529022349
model_0007,Skewness + T-1 Return,Skewness,0.004797541062971876,8.400727140636337e-09
model_0007,Skewness + T-1 Return,T-1 Return,-0.03335332451345735,0.2566717497751779
model_0008,Skewness + T-2 Return,const,0.0022511090743918927,0.01082142185268582
model_0008,Skewness + T-2 Return,Skewness,0.004850187542989255,5.66310426523955e-09
model_0008,Skewness + T-2 Return,T-2 Return,0.05258698182287285,0.06428384175533425
model_0009,Skewness + T-3 Return,const,0.002365394060971096,0.007515899041810869
model_0009,Skewness + T-3 Return,Skewness,0.004811231152822296,8.18849145467724e-09
model_0009,Skewness + T-3 Return,T-3 Return,-6.546968589244513e-05,0.9982022373183232
model_0010,Skewness + T-4 Return,const,0.002405671089885984,0.00649767137556312
model_0010,Skewness + T-4 Return,Skewness,0.004805333154476158,8.013759808861304e-09
