model_id,variables,method,variable,coefficient,p_value,final_filter_rule,retention_ratio
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Mean,1.219392046036357e-06,0.0318830518723895,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Std,-5.680294125192922e-07,0.3450670356837713,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,Median,-1.1573820697645292e-06,0.03603936543533425,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0189,Skewness + Mean + Std + Median + T-4 Return,2pt,T-4 Return,-0.005256563973912444,0.8788922009975331,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,const,-0.005355336276324413,0.33289071789015245,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,Skewness,0.005790051975187684,4.038543177529195e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,Mean,1.2824575374270806e-06,0.02433272624350229,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,Std,-6.459604449490418e-07,0.28452857784336166,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,Median,-1.169642440898193e-06,0.03391132472850659,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,1pt,VIX,0.00024352384648750487,0.1679551547884479,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,const,-0.005597774013601584,0.3118963050530209,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,Skewness,0.005851100558937813,3.8642873180531156e-08,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,Mean,1.2856430629934142e-06,0.02399115338985031,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,Std,-6.455349393362549e-07,0.28470614005055717,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,Median,-1.1686950141551422e-06,0.034025093658788814,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0185,Skewness + Mean + Std + Median + VIX,2pt,VIX,0.0002462533235097886,0.16326650347958022,Fear and Greed Index <= 76.000000 AND Median <= 63892.400000,0.7255230125523012
model_0075,Skewness + Mean + Median + T-2 Return,1pt,const,0.0033830463401482405,0.08720996778884557,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,1pt,Skewness,0.006214183383515632,1.6241806525252714e-07,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,1pt,Mean,1.4514367010002315e-06,0.006882143394349305,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,1pt,Median,-1.4376620692248044e-06,0.007207355654894111,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,1pt,T-2 Return,0.04709924838248836,0.14063547105207083,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,2pt,const,0.0032478916926442884,0.10054335079441089,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,2pt,Skewness,0.0062509164212668665,1.6956765108302083e-07,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,2pt,Mean,1.4509949221339508e-06,0.006898930000339079,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,2pt,Median,-1.4348990740437711e-06,0.007316637314891293,Skewness <= 1.014132,0.8
model_0075,Skewness + Mean + Median + T-2 Return,2pt,T-2 Return,0.047555546747053715,0.1368485392107277,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,const,0.0034884873897729745,0.07801337525154617,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,Skewness,0.006242597317479017,1.4261676438795743e-07,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,Mean,1.4421015203271338e-06,0.007239567483289779,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,Median,-1.4284770098385994e-06,0.007574974042287563,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,T-2 Return,0.04821285691300845,0.13154948861577745,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,1pt,T-4 Return,-0.04073516723505772,0.21962366585502333,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,2pt,const,0.003352224917698066,0.09030984288569059,Skewness <= 1.014132,0.8
model_0239,Skewness + Mean + Median + T-2 Return + T-4 Return,2pt,Skewness,0.006278242630399474,1.4975101921107878e-07,Skewness <= 1.014132,0.8
