model_id,variables,num_variables,n_obs,rsquared,adj_rsquared,aic,bic,core_factors,core_factor_min_pvalue,pass_pvalue_screen
model_0319,Kurtosis + Mean + Fear and Greed Index + T-3 Return,4,1196,0.009939677889290288,0.006614538268431502,-4930.010224171839,-4904.576534499286,Kurtosis,0.0013937052134411472,False
model_0320,Kurtosis + Mean + Fear and Greed Index + T-4 Return,4,1196,0.010574199922123828,0.0072511913576305265,-4930.776977086906,-4905.343287414354,Kurtosis,0.001396015667956296,False
model_0356,Kurtosis + Median + Fear and Greed Index + T-4 Return,4,1196,0.010844473339124638,0.007522372493915963,-4931.10372333117,-4905.670033658617,Kurtosis,0.001397795338166285,False
model_0355,Kurtosis + Median + Fear and Greed Index + T-3 Return,4,1196,0.010193301396574594,0.006869013575908189,-4930.316642444578,-4904.882952772025,Kurtosis,0.0013995679466118178,False
model_0425,Kurtosis + Mean + Fear and Greed Index + VIX + T-3 Return,5,1196,0.012303115417019672,0.008153128507007112,-4930.868686898343,-4900.34825929128,Kurtosis,0.0014001882192891536,False
model_0426,Kurtosis + Mean + Fear and Greed Index + VIX + T-4 Return,5,1196,0.01307232785522805,0.008925572930249981,-4931.800487446956,-4901.280059839893,Kurtosis,0.0014135911550487061,False
model_0432,Kurtosis + Mean + Fear and Greed Index + T-3 Return + T-4 Return,5,1196,0.010595249830639863,0.006438087014802196,-4928.802422106018,-4898.281994498954,Kurtosis,0.0014164961293692735,False
model_0487,Kurtosis + Median + Fear and Greed Index + T-3 Return + T-4 Return,5,1196,0.010863494728246659,0.006707458991810689,-4929.126722545668,-4898.606294938604,Kurtosis,0.001418875905225459,False
model_0352,Kurtosis + Median + Fear and Greed Index + VIX,4,1196,0.012435295982048178,0.009118537950081884,-4933.028754766742,-4907.5950650941895,Kurtosis,0.0014248058884916673,False
model_0480,Kurtosis + Median + Fear and Greed Index + VIX + T-3 Return,5,1196,0.0124386832517982,0.008289265954536829,-4931.032856960302,-4900.512429353238,Kurtosis,0.0014388219366478668,False
model_0481,Kurtosis + Median + Fear and Greed Index + VIX + T-4 Return,5,1196,0.013220390718757469,0.009074257906651395,-4931.979929643657,-4901.459502036593,Kurtosis,0.0014495119495665058,False
